Category,debit,credit
"[""Service"", ""Personal Care"", ""Hair Removal""]",54300,0
"[""Service"", ""Real Estate""]",12200,0
"[""Service"", ""Real Estate"", ""Real Estate Development and Title Companies""]",12200,0
"[""Service"", ""Real Estate"", ""Real Estate Appraiser""]",12200,0
"[""Service"", ""Real Estate"", ""Real Estate Agents""]",12200,0
"[""Service"", ""Real Estate"", ""Property Management""]",12200,0
"[""Service"", ""Real Estate"", ""Corporate Housing""]",12200,0
"[""Service"", ""Real Estate"", ""Commercial Real Estate""]",12200,0
"[""Service"", ""Real Estate"", ""Building and Land Surveyors""]",12200,0
"[""Service"", ""Real Estate"", ""Boarding Houses""]",12200,0
"[""Service"", ""Real Estate"", ""Apartments, Condos and Houses""]",12200,0
"[""Service"", ""Real Estate"", ""Rent""]",52301,0
"[""Service"", ""Security and Safety""]",52520,0
"[""Service"", ""Storage""]",52520,0
"[""Service"", ""Subscription""]",54400,0
"[""Service"", ""Tailors""]",54300,0
"[""Service"", ""Telecommunication Services""]",52306,0
"[""Service"", ""Transportation""]",52600,0
"[""Service"", ""Travel Agents and Tour Operators""]",52600,0
"[""Service"", ""Utilities"", ""Water""]",52302,0
"[""Service"", ""Utilities"", ""Sanitary and Waste Management""]",52302,0
"[""Service"", ""Utilities"", ""Heating, Ventilating, and Air Conditioning""]",52304,0
"[""Service"", ""Utilities"", ""Gas""]",52304,0
"[""Service"", ""Utilities"", ""Electric""]",52303,0
"[""Service"", ""Water and Waste Management""]",52302,0
"[""Service"", ""Web Design and Development""]",53200,0
"[""Shops""]",54300,0
"[""Shops"", ""Adult""]",54300,0
"[""Shops"", ""Antiques""]",54300,0
"[""Shops"", ""Arts and Crafts""]",54300,0
"[""Shops"", ""Auctions""]",54300,0
"[""Shops"", ""Automotive""]",52600,0
"[""Shops"", ""Automotive"", ""Used Car Dealers""]",52600,0
"[""Shops"", ""Automotive"", ""Salvage Yards""]",52600,0
"[""Shops"", ""Automotive"", ""RVs and Motor Homes""]",52600,0
"[""Shops"", ""Automotive"", ""Motorcycles, Mopeds and Scooters""]",52600,0
"[""Shops"", ""Automotive"", ""Classic and Antique Car""]",52600,0
"[""Shops"", ""Automotive"", ""Car Parts and Accessories""]",52600,0
"[""Shops"", ""Automotive"", ""Car Dealers and Leasing""]",52600,0
"[""Shops"", ""Beauty Products""]",54300,0
"[""Shops"", ""Bicycles""]",52200,0
"[""Shops"", ""Bookstores""]",53100,0
"[""Shops"", ""Children""]",54500,0
"[""Shops"", ""Clothing and Accessories""]",54300,0
"[""Shops"", ""Clothing and Accessories"", ""Women's Store""]",54500,0
"[""Shops"", ""Clothing and Accessories"", ""Swimwear""]",54300,0
"[""Shops"", ""Clothing and Accessories"", ""Shoe Store""]",54300,0
"[""Shops"", ""Clothing and Accessories"", ""Men's Store""]",54300,0
"[""Shops"", ""Clothing and Accessories"", ""Lingerie Store""]",54500,0
"[""Shops"", ""Clothing and Accessories"", ""Kids' Store""]",54500,0
"[""Shops"", ""Computers and Electronics""]",12600,0
"[""Shops"", ""Computers and Electronics"", ""Video Games""]",12600,0
"[""Shops"", ""Computers and Electronics"", ""Mobile Phones""]",12600,0
"[""Shops"", ""Computers and Electronics"", ""Cameras""]",12600,0
"[""Shops"", ""Convenience Stores""]",52400,0
"[""Shops"", ""Department Stores""]",54300,0
"[""Shops"", ""Digital Purchase""]",12600,0
"[""Shops"", ""Discount Stores""]",54300,0
"[""Shops"", ""Electrical Equipment""]",12600,0
"[""Shops"", ""Equipment Rental""]",12400,0
"[""Shops"", ""Flea Markets""]",54300,0
"[""Shops"", ""Florists""]",54300,0
"[""Shops"", ""Food and Beverage Store""]",54100,0
"[""Shops"", ""Food and Beverage Store"", ""Specialty""]",54100,0
"[""Shops"", ""Food and Beverage Store"", ""Health Food""]",54100,0
"[""Shops"", ""Food and Beverage Store"", ""Farmers Markets""]",54100,0
"[""Shops"", ""Food and Beverage Store"", ""Beer, Wine and Spirits""]",54100,0
"[""Shops"", ""Fuel Dealer""]",52600,0
"[""Shops"", ""Furniture and Home Decor""]",52410,0
"[""Shops"", ""Newsstands""]",54400,0
"[""Shops"", ""Office Supplies""]",53200,0
"[""Shops"", ""Outlet""]",54300,0
"[""Shops"", ""Outlet"", ""Women's Store""]",54600,0
"[""Shops"", ""Outlet"", ""Swimwear""]",54300,0
"[""Shops"", ""Outlet"", ""Shoe Store""]",54300,0
"[""Shops"", ""Outlet"", ""Men's Store""]",54300,0
"[""Shops"", ""Outlet"", ""Lingerie Store""]",54600,0
"[""Shops"", ""Outlet"", ""Kids' Store""]",54500,0
"[""Shops"", ""Outlet"", ""Boutique""]",54300,0
"[""Shops"", ""Outlet"", ""Accessories Store""]",54300,0
"[""Shops"", ""Pawn Shops""]",54300,0
"[""Shops"", ""Pets""]",54500,0
"[""Shops"", ""Pharmacies""]",52100,0
"[""Shops"", ""Shopping Centers and Malls""]",54300,0
"[""Shops"", ""Sporting Goods""]",52200,0
"[""Shops"", ""Supermarkets and Groceries""]",52403,0
"[""Shops"", ""Tobacco""]",54300,0
"[""Shops"", ""Toys""]",54500,0
"[""Shops"", ""Vintage and Thrift""]",54300,0
"[""Shops"", ""Wedding and Bridal""]",54600,0
"[""Shops"", ""Wholesale""]",54300,0
"[""Shops"", ""Lawn and Garden""]",52520,0
"[""Tax""]",51205,0
"[""Tax"", ""Refund""]",49999,0
"[""Tax"", ""Payment""]",51205,0
"[""Transfer""]",11100,0
"[""Transfer"", ""Internal Account Transfer""]",11100,0
"[""Transfer"", ""ACH""]",11100,0
"[""Transfer"", ""Billpay""]",11100,0
"[""Transfer"", ""Check""]",11100,0
"[""Transfer"", ""Credit""]",11100,0
"[""Transfer"", ""Debit""]",11100,0
"[""Transfer"", ""Deposit""]",11100,0
"[""Transfer"", ""Deposit"", ""Check""]",11100,0
"[""Transfer"", ""Deposit"", ""ATM""]",11100,0
"[""Transfer"", ""Keep the Change Savings Program""]",11100,0
